A,L,Vbias,result
7,8,0.9,False
7,8,1.0,False
7,8,1.1,False
7,8,1.2,False
8,4,0.4,True
8,4,0.5,True
8,4,0.6,True
8,4,0.7,True
8,4,0.8,True
8,4,0.9,True
8,4,1.0,True
8,4,1.1,True
8,4,1.2,True
8,5,0.4,True
8,5,0.5,True
8,5,0.6,True
8,5,0.7,True
8,5,0.8,True
8,5,0.9,True
8,5,1.0,True
8,5,1.1,True
8,5,1.2,False
8,6,0.4,True
8,6,0.5,True
8,6,0.6,True
8,6,0.7,True
8,6,0.8,True
8,6,0.9,True
8,6,1.0,True
8,6,1.1,False
8,6,1.2,False
8,7,0.4,True
8,7,0.5,True
8,7,0.6,True
8,7,0.7,True
8,7,0.8,True
8,7,0.9,True
8,7,1.0,True
8,7,1.1,True
8,7,1.2,False
8,8,0.4,True
8,8,0.5,True
8,8,0.6,True
8,8,0.7,False
8,8,0.8,False
8,8,0.9,False
8,8,1.0,False
8,8,1.1,False
8,8,1.2,False
9,4,0.4,True
9,4,0.5,True
9,4,0.6,True
9,4,0.7,True
9,4,0.8,True
9,4,0.9,True
9,4,1.0,True
9,4,1.1,True
9,4,1.2,True
9,5,0.4,True
9,5,0.5,True
9,5,0.6,True
9,5,0.7,True
9,5,0.8,True
9,5,0.9,True
9,5,1.0,True
9,5,1.1,True
9,5,1.2,False
9,6,0.4,True
9,6,0.5,True
9,6,0.6,True
9,6,0.7,True
9,6,0.8,True
9,6,0.9,True
9,6,1.0,True
9,6,1.1,False
9,6,1.2,False
9,7,0.4,True
9,7,0.5,True
9,7,0.6,True
9,7,0.7,True
9,7,0.8,True
9,7,0.9,True
9,7,1.0,True
9,7,1.1,True
9,7,1.2,False
9,8,0.4,True
9,8,0.5,True
9,8,0.6,True
9,8,0.7,False
9,8,0.8,False
9,8,0.9,False
9,8,1.0,False
9,8,1.1,False
9,8,1.2,False
10,4,0.4,True
10,4,0.5,True
10,4,0.6,True
10,4,0.7,True
10,4,0.8,True
10,4,0.9,True
10,4,1.0,True
10,4,1.1,True
10,4,1.2,True
10,5,0.4,True
10,5,0.5,True
10,5,0.6,True
10,5,0.7,True
10,5,0.8,True
10,5,0.9,True
10,5,1.0,True
10,5,1.1,True
10,5,1.2,True
10,6,0.4,True
10,6,0.5,True
10,6,0.6,True
10,6,0.7,True
10,6,0.8,True
10,6,0.9,True
10,6,1.0,True
10,6,1.1,False
10,6,1.2,False
10,7,0.4,True
10,7,0.5,True
10,7,0.6,True
10,7,0.7,True
10,7,0.8,True
10,7,0.9,True
10,7,1.0,True
10,7,1.1,True
11,5,0.5,True
11,5,0.6,True
11,5,0.7,True
11,5,0.8,True
11,5,0.9,True
11,5,1.0,True
11,5,1.1,True
11,5,1.2,True
11,6,0.4,True
11,6,0.5,True
11,6,0.6,True
11,6,0.7,True
11,6,0.8,True
11,6,0.9,True
11,6,1.0,True
11,6,1.1,False
11,6,1.2,False
11,7,0.4,True
11,7,0.5,True
11,7,0.6,True
10,7,1.2,False
10,8,0.4,True
10,8,0.5,True
10,8,0.6,True
10,8,0.7,False
10,8,0.8,False
10,8,0.9,False
10,8,1.0,False
10,8,1.1,False
10,8,1.2,False
11,4,0.4,True
11,4,0.5,True
11,4,0.6,True
11,4,0.7,True
11,4,0.8,True
11,4,0.9,True
11,4,1.0,True
11,4,1.1,True
11,4,1.2,True
11,5,0.4,True
11,7,0.7,True
11,7,0.8,True
11,7,0.9,True
11,7,1.0,True
11,7,1.1,True
11,7,1.2,False
11,8,0.4,True
11,8,0.5,True
11,8,0.6,True
11,8,0.7,False
11,8,0.8,False
11,8,0.9,False
11,8,1.0,False
11,8,1.1,False
11,8,1.2,False
12,4,0.4,True
12,4,0.5,True
12,4,0.6,True
12,4,0.7,True
12,4,0.8,True
12,4,0.9,True
12,4,1.0,True
12,4,1.1,True
12,4,1.2,True
12,5,0.4,True
12,5,0.5,True
12,5,0.6,True
12,5,0.7,True
12,5,0.8,True
12,5,0.9,True
12,5,1.0,True
12,5,1.1,True
12,5,1.2,True
12,6,0.4,True
12,6,0.5,True
12,6,0.6,True
12,6,0.7,True
12,6,0.8,True
12,6,0.9,True
12,6,1.0,True
12,6,1.1,False
12,6,1.2,False
12,7,0.4,True
12,7,0.5,True
12,7,0.6,True
12,7,0.7,True
12,7,0.8,True
12,7,0.9,True
12,7,1.0,True
12,7,1.1,True
12,7,1.2,False
12,8,0.4,True
12,8,0.5,True
12,8,0.6,True
12,8,0.7,False
12,8,0.8,False
12,8,0.9,False
12,8,1.0,False
12,8,1.1,False
12,8,1.2,False
13,4,0.4,True
13,4,0.5,True
13,4,0.6,True
13,4,0.7,True
13,4,0.8,True
13,4,0.9,True
13,4,1.0,True
13,4,1.1,True
13,4,1.2,True
13,5,0.4,True
13,5,0.5,True
13,5,0.6,True
13,5,0.7,True
13,5,0.8,True
13,5,0.9,True
13,5,1.0,True
13,5,1.1,True
13,5,1.2,True
13,6,0.4,True
13,6,0.5,True
13,6,0.6,True
13,6,0.7,True
13,6,0.8,True
13,6,0.9,True
13,6,1.0,True
13,6,1.1,False
13,6,1.2,False
13,7,0.4,True
13,7,0.5,True
13,7,0.6,True
13,7,0.7,True
13,7,0.8,True
13,7,0.9,True
13,7,1.0,True
13,7,1.1,True
13,7,1.2,False
13,8,0.4,True
13,8,0.5,True
13,8,0.6,True
13,8,0.7,False
14,5,1.0,True
14,5,1.1,True
14,5,1.2,True
14,6,0.4,True
14,6,0.5,True
14,6,0.6,True
14,6,0.7,True
14,6,0.8,True
14,6,0.9,True
14,6,1.0,False
14,6,1.1,False
14,6,1.2,False
14,7,0.4,True
14,7,0.5,True
14,7,0.6,True
14,7,0.7,True
14,7,0.8,True
14,7,0.9,True
14,7,1.0,True
14,7,1.1,True
13,8,0.8,False
13,8,0.9,False
13,8,1.0,False
13,8,1.1,False
13,8,1.2,False
14,4,0.4,True
14,4,0.5,True
14,4,0.6,True
14,4,0.7,True
14,4,0.8,True
14,4,0.9,True
14,4,1.0,True
14,4,1.1,True
14,4,1.2,True
14,5,0.4,True
14,5,0.5,True
14,5,0.6,True
14,5,0.7,True
14,5,0.8,True
14,5,0.9,True
15,5,0.5,True
15,5,0.6,True
15,5,0.7,True
15,5,0.8,True
15,5,0.9,True
15,5,1.0,True
15,5,1.1,True
15,5,1.2,True
15,6,0.4,True
15,6,0.5,True
15,6,0.6,True
15,6,0.7,True
15,6,0.8,True
15,6,0.9,True
15,6,1.0,False
15,6,1.1,False
15,6,1.2,False
15,7,0.4,True
15,7,0.5,True
15,7,0.6,True
14,7,1.2,False
14,8,0.4,True
14,8,0.5,True
14,8,0.6,True
14,8,0.7,False
14,8,0.8,False
14,8,0.9,False
14,8,1.0,False
14,8,1.1,False
14,8,1.2,False
15,4,0.4,True
15,4,0.5,True
15,4,0.6,True
15,4,0.7,True
15,4,0.8,True
15,4,0.9,True
15,4,1.0,True
15,4,1.1,True
15,4,1.2,True
15,5,0.4,True
15,7,0.7,True
15,7,0.8,True
15,7,0.9,True
15,7,1.0,True
15,7,1.1,True
15,7,1.2,False
15,8,0.4,True
15,8,0.5,True
15,8,0.6,False
15,8,0.7,False
15,8,0.8,False
15,8,0.9,False
15,8,1.0,False
15,8,1.1,False
15,8,1.2,False
16,4,0.4,True
16,4,0.5,True
16,4,0.6,True
16,4,0.7,True
16,4,0.8,True
16,4,0.9,True
16,4,1.0,True
16,4,1.1,True
16,4,1.2,True
16,5,0.4,True
16,5,0.5,True
16,5,0.6,True
16,5,0.7,True
16,5,0.8,True
16,5,0.9,True
16,5,1.0,True
16,5,1.1,True
16,5,1.2,True
16,6,0.4,True
16,6,0.5,True
16,6,0.6,True
16,6,0.7,True
16,6,0.8,True
16,6,0.9,True
16,6,1.0,False
16,6,1.1,False
16,6,1.2,False
16,7,0.4,True
16,7,0.5,True
16,7,0.6,True
16,7,0.7,True
16,7,0.8,True
16,7,0.9,True
16,7,1.0,True
16,7,1.1,True
16,7,1.2,False
16,8,0.4,True
16,8,0.5,True
16,8,0.6,False
16,8,0.7,False
16,8,0.8,False
16,8,0.9,False
16,8,1.0,False
16,8,1.1,False
16,8,1.2,False
17,4,0.4,True
17,4,0.5,True
17,4,0.6,True
17,4,0.7,True
17,4,0.8,True
17,4,0.9,True
17,4,1.0,True
17,4,1.1,True
17,4,1.2,True
17,5,0.4,True
17,5,0.5,True
17,5,0.6,True
17,5,0.7,True
17,5,0.8,True
17,5,0.9,True
17,5,1.0,True
17,5,1.1,True
17,5,1.2,True
17,6,0.4,True
17,6,0.5,True
17,6,0.6,True
17,6,0.7,True
17,6,0.8,True
17,6,0.9,True
17,6,1.0,False
17,6,1.1,False
17,6,1.2,False
17,7,0.4,True
17,7,0.5,True
17,7,0.6,True
17,7,0.7,True
17,7,0.8,True
17,7,0.9,True
17,7,1.0,True
17,7,1.1,True
17,7,1.2,False
17,8,0.4,True
17,8,0.5,True
17,8,0.6,False
17,8,0.7,False
17,8,0.8,False
17,8,0.9,False
17,8,1.0,False
17,8,1.1,False
17,8,1.2,False
18,4,0.4,True
18,4,0.5,True
18,4,0.6,True
18,4,0.7,True
18,4,0.8,True
18,4,0.9,True
18,4,1.0,True
18,4,1.1,True
18,4,1.2,True
18,5,0.4,True
18,5,0.5,True
18,5,0.6,True
18,5,0.7,True
18,5,0.8,True
18,5,0.9,True
18,5,1.0,True
18,5,1.1,True
18,5,1.2,True
18,6,0.4,True
18,6,0.5,True
18,6,0.6,True
18,6,0.7,True
18,6,0.8,True
18,6,0.9,False
18,6,1.0,False
18,6,1.1,False
18,6,1.2,False
18,7,0.4,True
18,7,0.5,True
18,7,0.6,True
18,7,0.7,True
18,7,0.8,True
18,7,0.9,True
18,7,1.0,True
18,7,1.1,True
18,7,1.2,False
18,8,0.4,True
18,8,0.5,True
18,8,0.6,False
18,8,0.7,False
18,8,0.8,False
18,8,0.9,False
18,8,1.0,False
18,8,1.1,False
18,8,1.2,False
19,4,0.4,True
19,4,0.5,True
19,4,0.6,True
19,4,0.7,True
19,4,0.8,True
19,4,0.9,True
19,4,1.0,True
19,4,1.1,True
19,4,1.2,True
19,5,0.4,True
19,5,0.5,True
19,5,0.6,True
19,5,0.7,True
19,5,0.8,True
19,5,0.9,True
19,5,1.0,True
19,5,1.1,True
19,5,1.2,True
19,6,0.4,True
19,6,0.5,True
19,6,0.6,True
19,6,0.7,True
19,6,0.8,True
19,6,0.9,False
19,6,1.0,False
19,6,1.1,False
19,6,1.2,False
19,7,0.4,True
19,7,0.5,True
19,7,0.6,True
19,7,0.7,True
19,7,0.8,True
19,7,0.9,True
19,7,1.0,True
19,7,1.1,True
19,7,1.2,False
19,8,0.4,True
19,8,0.5,True
19,8,0.6,False
19,8,0.7,False
19,8,0.8,False
19,8,0.9,False
19,8,1.0,False
19,8,1.1,False
19,8,1.2,False
20,4,0.4,True
20,4,0.5,True
20,4,0.6,True
20,4,0.7,True
20,4,0.8,True
20,4,0.9,True
20,4,1.0,True
20,4,1.1,True
20,4,1.2,True
20,5,0.4,True
20,5,0.5,True
20,5,0.6,True
20,5,0.7,True
20,5,0.8,True
20,5,0.9,True
20,5,1.0,True
20,5,1.1,True
20,5,1.2,True
20,6,0.4,True
20,6,0.5,True
20,6,0.6,True
20,6,0.7,True
20,6,0.8,True
20,6,0.9,False
20,6,1.0,False
20,6,1.1,False
20,6,1.2,False
20,7,0.4,True
20,7,0.5,True
20,7,0.6,True
20,7,0.7,True
20,7,0.8,True
20,7,0.9,True
20,7,1.0,True
20,7,1.1,True
20,7,1.2,False
20,8,0.4,True
20,8,0.5,True
20,8,0.6,False
20,8,0.7,False
20,8,0.8,False
20,8,0.9,False
20,8,1.0,False
20,8,1.1,False
20,8,1.2,False
