A,L,Vbias,result
5,14,1.9,False
5,15,0.3,False
5,15,0.5,False
5,15,0.7,False
5,15,0.9,False
5,15,1.1,False
5,15,1.3,False
5,15,1.5,False
5,15,1.7,False
5,15,1.9,False
10,1,0.3,False
10,1,0.5,False
10,1,0.7,False
10,1,0.9,False
10,1,1.1,True
10,1,1.3,False
10,1,1.5,False
10,1,1.7,False
10,1,1.9,False
10,2,0.3,False
10,2,0.5,False
10,2,0.7,True
10,2,0.9,True
10,2,1.1,True
10,2,1.3,False
10,2,1.5,False
10,2,1.7,False
10,2,1.9,False
10,3,0.3,False
10,3,0.5,False
10,3,0.7,True
10,3,0.9,True
10,3,1.1,True
10,3,1.3,False
10,3,1.5,False
10,6,0.3,False
10,6,0.5,True
10,6,0.7,True
10,6,0.9,True
10,6,1.1,False
10,6,1.3,False
10,6,1.5,False
10,6,1.7,False
10,6,1.9,False
10,7,0.3,False
10,7,0.5,True
10,7,0.7,True
10,7,0.9,True
10,7,1.1,True
10,7,1.3,False
10,7,1.5,False
10,7,1.7,False
10,7,1.9,False
10,8,0.3,False
10,8,0.5,True
10,3,1.7,False
10,3,1.9,False
10,4,0.3,False
10,4,0.5,True
10,4,0.7,True
10,4,0.9,True
10,4,1.1,True
10,4,1.3,False
10,4,1.5,False
10,4,1.7,False
10,4,1.9,False
10,5,0.3,False
10,5,0.5,True
10,5,0.7,True
10,5,0.9,True
10,5,1.1,True
10,5,1.3,False
10,5,1.5,False
10,5,1.7,False
10,5,1.9,False
10,8,0.7,False
10,8,0.9,False
10,8,1.1,False
10,8,1.3,False
10,8,1.5,False
10,8,1.7,False
10,8,1.9,False
10,9,0.3,False
10,9,0.5,True
10,9,0.7,False
10,9,0.9,False
10,9,1.1,False
10,9,1.3,False
10,9,1.5,False
10,9,1.7,False
10,9,1.9,False
10,10,0.3,False
10,10,0.5,False
10,10,0.7,False
10,10,0.9,False
10,10,1.1,False
10,10,1.3,False
10,10,1.5,False
10,10,1.7,False
10,10,1.9,False
10,11,0.3,False
10,11,0.5,False
10,11,0.7,False
10,11,0.9,False
10,11,1.1,False
10,11,1.3,False
10,11,1.5,False
10,11,1.7,False
10,11,1.9,False
10,12,0.3,False
10,12,0.5,False
10,12,0.7,False
10,12,0.9,False
10,12,1.1,False
10,12,1.3,False
10,12,1.5,False
10,12,1.7,False
10,12,1.9,False
10,13,0.3,False
10,13,0.5,False
10,13,0.7,False
10,13,0.9,False
10,13,1.1,False
10,13,1.3,False
10,13,1.5,False
10,13,1.7,False
10,13,1.9,False
10,14,0.3,False
10,14,0.5,False
10,14,0.7,False
10,14,0.9,False
10,14,1.1,False
10,14,1.3,False
10,14,1.5,False
10,14,1.7,False
10,14,1.9,False
10,15,0.3,False
10,15,0.5,False
10,15,0.7,False
10,15,0.9,False
10,15,1.1,False
10,15,1.3,False
10,15,1.5,False
10,15,1.7,False
10,15,1.9,False
15,1,0.3,False
15,1,0.5,False
15,1,0.7,False
15,1,0.9,False
15,1,1.1,True
15,1,1.3,False
15,1,1.5,False
15,1,1.7,False
15,1,1.9,False
15,2,0.3,False
15,2,0.5,False
15,2,0.7,True
15,2,0.9,True
15,2,1.1,True
15,2,1.3,False
15,2,1.5,False
15,2,1.7,False
15,2,1.9,False
15,3,0.3,False
15,3,0.5,False
15,3,0.7,True
15,3,0.9,True
15,3,1.1,True
15,3,1.3,False
15,3,1.5,False
15,3,1.7,False
15,3,1.9,False
15,4,0.3,False
15,4,0.5,True
15,4,0.7,True
15,4,0.9,True
15,4,1.1,True
15,4,1.3,False
15,4,1.5,False
15,4,1.7,False
15,4,1.9,False
15,5,0.3,False
15,5,0.5,True
15,5,0.7,True
15,5,0.9,True
15,5,1.1,True
15,5,1.3,False
15,5,1.5,False
15,5,1.7,False
15,5,1.9,False
15,6,0.3,False
15,6,0.5,True
15,6,0.7,True
15,6,0.9,True
15,6,1.1,False
15,6,1.3,False
15,6,1.5,False
15,6,1.7,False
15,6,1.9,False
15,7,0.3,False
15,7,0.5,True
15,7,0.7,True
15,7,0.9,True
15,7,1.1,True
15,7,1.3,False
15,7,1.5,False
15,7,1.7,False
15,7,1.9,False
15,8,0.3,False
15,8,0.5,True
15,8,0.7,False
15,8,0.9,False
15,8,1.1,False
15,8,1.3,False
15,8,1.5,False
15,11,0.3,False
15,11,0.5,False
15,11,0.7,False
15,11,0.9,False
15,11,1.1,False
15,11,1.3,False
15,11,1.5,False
15,11,1.7,False
15,11,1.9,False
15,12,0.3,False
15,12,0.5,False
15,12,0.7,False
15,12,0.9,False
15,12,1.1,False
15,12,1.3,False
15,12,1.5,False
15,12,1.7,False
15,12,1.9,False
15,13,0.3,False
15,13,0.5,False
15,13,0.7,False
15,13,0.9,False
15,13,1.1,False
15,13,1.3,False
15,13,1.5,False
15,13,1.7,False
15,13,1.9,False
15,14,0.3,False
15,14,0.5,False
15,14,0.7,False
15,14,0.9,False
15,14,1.1,False
15,14,1.3,False
15,14,1.5,False
15,14,1.7,False
15,14,1.9,False
15,15,0.3,False
15,15,0.5,False
15,15,0.7,False
15,15,0.9,False
15,8,1.7,False
15,8,1.9,False
15,9,0.3,False
15,9,0.5,True
15,9,0.7,False
15,9,0.9,False
15,9,1.1,False
15,9,1.3,False
15,9,1.5,False
15,9,1.7,False
15,9,1.9,False
15,10,0.3,False
15,10,0.5,False
15,10,0.7,False
15,10,0.9,False
15,10,1.1,False
15,10,1.3,False
15,10,1.5,False
15,10,1.7,False
15,10,1.9,False
15,15,1.1,False
15,15,1.3,False
15,15,1.5,False
15,15,1.7,False
15,15,1.9,False
20,1,0.3,False
20,1,0.5,False
20,1,0.7,False
20,1,0.9,False
20,1,1.1,False
20,1,1.3,False
20,1,1.5,False
20,1,1.7,False
20,1,1.9,False
20,2,0.3,False
20,2,0.5,False
20,2,0.7,True
20,2,0.9,True
20,2,1.1,True
20,2,1.3,False
20,2,1.5,False
20,2,1.7,False
20,2,1.9,False
20,3,0.3,False
20,3,0.5,False
20,3,0.7,True
20,3,0.9,True
20,3,1.1,True
20,3,1.3,False
20,3,1.5,False
20,3,1.7,False
20,3,1.9,False
20,4,0.3,False
20,4,0.5,True
20,4,0.7,True
20,4,0.9,True
20,4,1.1,True
20,4,1.3,False
20,4,1.5,False
20,4,1.7,False
20,7,0.5,True
20,7,0.7,True
20,7,0.9,True
20,7,1.1,True
20,7,1.3,False
20,7,1.5,False
20,7,1.7,False
20,7,1.9,False
20,8,0.3,False
20,8,0.5,True
20,8,0.7,False
20,8,0.9,False
20,8,1.1,False
20,8,1.3,False
20,8,1.5,False
20,8,1.7,False
20,8,1.9,False
20,9,0.3,False
20,9,0.5,True
20,9,0.7,False
20,4,1.9,False
20,5,0.3,False
20,5,0.5,True
20,5,0.7,True
20,5,0.9,True
20,5,1.1,True
20,5,1.3,False
20,5,1.5,False
20,5,1.7,False
20,5,1.9,False
20,6,0.3,False
20,6,0.5,True
20,6,0.7,True
20,6,0.9,False
20,6,1.1,False
20,6,1.3,False
20,6,1.5,False
20,6,1.7,False
20,6,1.9,False
20,7,0.3,False
20,9,0.9,False
20,9,1.1,False
20,9,1.3,False
20,9,1.5,False
20,9,1.7,False
20,9,1.9,False
20,10,0.3,False
20,10,0.5,False
20,10,0.7,False
20,10,0.9,False
20,10,1.1,False
20,10,1.3,False
20,10,1.5,False
20,10,1.7,False
20,10,1.9,False
20,11,0.3,False
20,11,0.5,False
20,11,0.7,False
20,11,0.9,False
20,11,1.1,False
20,11,1.3,False
20,11,1.5,False
20,11,1.7,False
20,11,1.9,False
20,12,0.3,False
20,12,0.5,False
20,12,0.7,False
20,12,0.9,False
20,12,1.1,False
20,12,1.3,False
20,12,1.5,False
20,12,1.7,False
20,12,1.9,False
20,13,0.3,False
20,13,0.5,False
20,13,0.7,False
20,13,0.9,False
20,13,1.1,False
20,13,1.3,False
20,13,1.5,False
20,13,1.7,False
20,13,1.9,False
20,14,0.3,False
20,14,0.5,False
20,14,0.7,False
20,14,0.9,False
20,14,1.1,False
20,14,1.3,False
20,14,1.5,False
20,14,1.7,False
20,14,1.9,False
20,15,0.3,False
20,15,0.5,False
20,15,0.7,False
20,15,0.9,False
20,15,1.1,False
20,15,1.3,False
20,15,1.5,False
20,15,1.7,False
20,15,1.9,False
