L,R,A,Vbias,result
30,200,10,0.6,False
30,200,10,1.0,False
30,200,10,1.4,False
30,200,10,1.8,False
30,200,10,2.2,False
30,200,10,2.6,False
30,200,15,0.6,False
30,200,15,1.0,False
30,200,15,1.4,False
30,200,15,1.8,False
30,200,15,2.2,False
30,200,15,2.6,False
30,250,5,0.6,False
30,250,5,1.0,False
30,250,5,1.4,False
30,250,5,1.8,False
30,250,5,2.2,False
30,250,5,2.6,False
30,100,10,2.2,False
30,100,10,2.6,False
30,100,15,0.6,False
30,100,15,1.0,False
30,100,15,1.4,False
30,100,15,1.8,False
30,100,15,2.2,False
30,100,15,2.6,False
30,150,5,0.6,False
30,150,5,1.0,False
30,250,10,0.6,False
30,250,10,1.0,False
30,250,10,1.4,False
30,250,10,1.8,False
30,250,10,2.2,False
30,250,10,2.6,False
30,250,15,0.6,False
30,250,15,1.0,False
30,250,15,1.4,False
30,250,15,1.8,False
30,250,15,2.2,False
30,250,15,2.6,False
30,300,5,0.6,False
30,300,5,1.0,False
30,300,5,1.4,False
30,300,5,1.8,False
30,300,5,2.2,False
30,300,5,2.6,False
30,300,10,0.6,False
30,300,10,1.0,False
30,300,10,1.4,False
30,300,10,1.8,False
30,300,10,2.2,False
30,300,10,2.6,False
30,300,15,0.6,False
30,300,15,1.0,False
30,300,15,1.4,False
30,300,15,1.8,False
30,300,15,2.2,False
30,300,15,2.6,False
40,150,5,1.4,False
40,150,5,1.8,False
40,150,5,2.2,False
40,150,5,2.6,False
40,150,10,0.6,False
40,150,10,1.0,False
40,150,10,1.4,False
40,150,10,1.8,False
40,150,10,2.2,False
40,150,10,2.6,False
40,100,5,0.6,False
40,100,5,1.0,False
40,100,5,1.4,False
40,100,5,1.8,False
40,100,5,2.2,False
40,100,5,2.6,False
40,100,10,0.6,False
40,100,10,1.0,False
40,100,10,1.4,False
40,100,10,1.8,False
40,150,15,0.6,False
40,150,15,1.0,False
40,150,15,1.4,False
40,150,15,1.8,False
40,150,15,2.2,False
40,150,15,2.6,False
40,200,5,0.6,False
40,200,5,1.0,False
40,200,5,1.4,False
40,200,5,1.8,False
40,200,15,1.4,False
40,200,15,1.8,False
40,200,15,2.2,False
40,200,15,2.6,False
40,250,5,0.6,False
40,250,5,1.0,False
40,250,5,1.4,False
40,250,5,1.8,False
40,250,5,2.2,False
40,250,5,2.6,False
40,200,5,2.2,False
40,200,5,2.6,False
40,200,10,0.6,False
40,200,10,1.0,False
40,200,10,1.4,False
40,200,10,1.8,False
40,200,10,2.2,False
40,200,10,2.6,False
40,200,15,0.6,False
40,200,15,1.0,False
40,100,10,2.2,False
40,100,10,2.6,False
40,100,15,0.6,False
40,100,15,1.0,False
40,100,15,1.4,False
40,100,15,1.8,False
40,100,15,2.2,False
40,100,15,2.6,False
40,150,5,0.6,False
40,150,5,1.0,False
40,250,10,0.6,False
40,250,10,1.0,False
40,250,10,1.4,False
40,250,10,1.8,False
40,250,10,2.2,False
40,250,10,2.6,False
40,250,15,0.6,False
40,250,15,1.0,False
40,250,15,1.4,False
40,250,15,1.8,False
40,250,15,2.2,False
40,250,15,2.6,False
40,300,5,0.6,False
40,300,5,1.0,False
40,300,5,1.4,False
40,300,5,1.8,False
40,300,5,2.2,False
40,300,5,2.6,False
40,300,10,0.6,False
40,300,10,1.0,False
40,300,10,1.4,False
40,300,10,1.8,False
40,300,10,2.2,False
40,300,10,2.6,False
40,300,15,0.6,False
40,300,15,1.0,False
40,300,15,1.4,False
40,300,15,1.8,False
40,300,15,2.2,False
40,300,15,2.6,False
