R,L,Vbias,result
80,25,2.2,False
80,20,0.4,False
80,20,0.6,True
80,20,0.8,True
80,20,1.0,True
80,20,1.2,True
80,20,1.4,True
80,20,1.6,True
80,20,1.8,True
80,20,2.0,True
80,20,2.2,False
90,5,0.4,True
90,5,0.6,True
90,5,0.8,True
90,5,1.0,True
90,5,1.2,True
90,5,1.4,True
90,5,1.6,True
90,5,1.8,True
90,5,2.0,True
90,5,2.2,True
80,30,0.4,False
80,30,0.6,False
80,30,0.8,False
80,30,1.0,True
80,30,1.2,True
80,30,1.4,True
80,30,1.6,True
80,30,1.8,True
80,30,2.0,True
80,30,2.2,False
90,10,0.4,True
90,10,0.6,True
90,10,0.8,True
90,10,1.0,True
90,10,1.2,True
90,10,1.4,True
90,10,1.6,True
90,10,1.8,True
90,10,2.0,True
90,10,2.2,True
90,15,0.4,False
90,15,0.6,True
90,15,0.8,True
90,15,1.0,True
90,15,1.2,True
90,15,1.4,True
90,15,1.6,True
90,15,1.8,True
90,15,2.0,True
90,15,2.2,True
90,20,0.4,False
90,20,0.6,False
90,20,0.8,True
90,20,1.0,True
90,20,1.2,True
90,20,1.4,True
90,20,1.6,True
90,20,1.8,True
90,20,2.0,True
90,20,2.2,True
90,25,0.4,False
90,25,0.6,False
90,25,0.8,False
90,25,1.0,True
90,25,1.2,True
90,25,1.4,True
90,25,1.6,True
90,25,1.8,True
90,25,2.0,True
90,25,2.2,True
90,30,0.4,False
90,30,0.6,False
90,30,0.8,False
90,30,1.0,True
90,30,1.2,True
90,30,1.4,True
90,30,1.6,True
90,30,1.8,True
90,30,2.0,True
90,30,2.2,True
100,5,0.4,True
100,5,0.6,True
100,5,0.8,True
100,5,1.0,True
100,5,1.2,True
100,5,1.4,True
100,5,1.6,True
100,5,1.8,True
100,5,2.0,True
100,5,2.2,True
100,10,0.4,True
100,10,0.6,True
100,10,0.8,True
100,10,1.0,True
100,10,1.2,True
100,10,1.4,True
100,10,1.6,True
100,10,1.8,True
100,10,2.0,True
100,10,2.2,True
100,15,0.4,False
100,15,0.6,False
100,15,0.8,True
100,15,1.0,True
100,15,1.2,True
100,15,1.4,True
100,15,1.6,True
100,15,1.8,True
100,15,2.0,True
100,15,2.2,True
100,20,0.4,False
100,20,0.6,False
100,20,0.8,True
100,20,1.0,True
100,20,1.2,True
100,20,1.4,True
100,20,1.6,True
100,20,1.8,True
100,20,2.0,True
100,20,2.2,True
100,25,0.4,False
100,25,0.6,False
100,25,0.8,False
100,25,1.0,True
100,25,1.2,True
100,25,1.4,True
100,25,1.6,True
100,25,1.8,True
100,25,2.0,True
100,25,2.2,True
100,30,0.4,False
100,30,0.6,False
100,30,0.8,False
100,30,1.0,False
100,30,1.2,True
100,30,1.4,True
100,30,1.6,True
100,30,1.8,True
100,30,2.0,True
100,30,2.2,True
